1.37;0.17;7.83;0:07.83;19%;0;/home/debian/keyrepos/2020-1-01/key;./gradlew --no-daemon key.util:test
1.73;0.14;8.46;0:08.46;22%;0;/home/debian/keyrepos/2020-4-01/key;./gradlew --no-daemon key.util:test
1.77;0.13;8.46;0:08.46;22%;0;/home/debian/keyrepos/2020-7-01/key;./gradlew --no-daemon key.util:test
1.73;0.12;11.38;0:11.38;16%;0;/home/debian/keyrepos/2020-10-01/key;./gradlew --no-daemon key.util:test
1.73;0.11;7.79;0:07.79;23%;0;/home/debian/keyrepos/2021-1-01/key;./gradlew --no-daemon key.util:test
1.71;0.11;7.97;0:07.97;22%;0;/home/debian/keyrepos/2021-4-01/key;./gradlew --no-daemon key.util:test
1.96;0.10;9.05;0:09.05;22%;0;/home/debian/keyrepos/2021-7-01/key;./gradlew --no-daemon key.util:test
1.76;0.13;8.59;0:08.59;22%;0;/home/debian/keyrepos/2021-10-01/key;./gradlew --no-daemon key.util:test
2.28;0.13;10.09;0:10.09;23%;0;/home/debian/keyrepos/2022-1-01/key;./gradlew --no-daemon key.util:test
2.44;0.13;11.82;0:11.82;21%;0;/home/debian/keyrepos/2022-4-01/key;./gradlew --no-daemon key.util:test
2.20;0.13;10.67;0:10.67;21%;0;/home/debian/keyrepos/2022-7-01/key;./gradlew --no-daemon key.util:test
2.34;0.15;10.51;0:10.51;23%;0;/home/debian/keyrepos/2022-10-01/key;./gradlew --no-daemon key.util:test
2.39;0.15;12.45;0:12.45;20%;0;/home/debian/keyrepos/2023-1-01/key;./gradlew --no-daemon key.util:test
2.30;0.13;13.28;0:13.28;18%;0;/home/debian/keyrepos/2023-4-01;./gradlew --no-daemon key.util:test
2.36;0.13;14.12;0:14.12;17%;0;/home/debian/keyrepos/2023-7-01;./gradlew --no-daemon key.util:test
Command exited with non-zero status 1
2.24;0.11;10.58;0:10.58;22%;1;/home/debian/keyrepos/2023-10-01;./gradlew --no-daemon key.util:test
1.86;0.17;13.47;0:13.47;15%;0;/home/debian/keyrepos/2024-1-01;./gradlew --no-daemon key.util:test
1.83;0.15;13.28;0:13.28;14%;0;/home/debian/keyrepos/2024-4-01;./gradlew --no-daemon key.util:test
1.97;0.15;13.55;0:13.55;15%;0;/home/debian/keyrepos/2024-7-01;./gradlew --no-daemon key.util:test
1.97;0.12;14.16;0:14.16;14%;0;/home/debian/keyrepos/2024-10-01;./gradlew --no-daemon key.util:test
1.97;0.14;18.45;0:18.45;11%;0;/home/debian/keyrepos/2025-1-01;./gradlew --no-daemon key.util:test
2.07;0.16;36.62;0:36.62;6%;0;/home/debian/keyrepos/2025-4-01;./gradlew --no-daemon key.util:test
