folder;java;gradle
2020-01-01;8.0.452-tem;5.4.1
2020-04-01;11.0.27-tem;6.0.1
2020-07-01;11.0.27-tem;6.0.1
2020-10-01;11.0.27-tem;5.4.1
2021-01-01;11.0.27-tem;5.4.1
2021-04-01;11.0.27-tem;5.4.1
2021-07-01;11.0.27-tem;6.6
2021-10-01;11.0.27-tem;6.6
2022-01-01;11.0.27-tem;7.3.3
2022-04-01;11.0.27-tem;7.3.3
2022-07-01;11.0.27-tem;7.3.3
2022-10-01;11.0.27-tem;7.3.3
2023-01-01;11.0.27-tem;7.6
2023-04-01;11.0.27-tem;8.0.2
2023-07-01;11.0.27-tem;8.1.1
2023-10-01;17.0.15-tem;8.1.1
2024-01-01;21.0.7-tem;8.4
2024-04-01;21.0.7-tem;8.4
2024-07-01;21.0.7-tem;8.7
2024-10-01;21.0.7-tem;8.7
2025-01-01;21.0.7-tem;8.7
2025-04-01;21.0.7-tem;8.7
